3.125; 0.037627100000000004
 3.13; 0.0383449
31.350.000.000.000.000; 0.0390708
 3.14; 0.039804500000000007
3.145; 0.0405656
 3.15; 0.0413193
31.550.000.000.000.000; 0.042080000000000006
 3.16; 0.042849700000000004
3.165; 0.043625500000000005
 3.17; 0.0444299
31.750.000.000.000.000; 0.045224600000000004
 3.18; 0.0460269
3.185; 0.046835400000000006
 3.19; 0.047670800000000006
31.950.000.000.000.000; 0.048498400000000004
 3.2; 0.0493304
3.205; 0.050168800000000006
 3.21; 0.051025200000000007
3.215; 0.0518942
 3.22; 0.052754100000000005
3.225; 0.053638500000000006
 3.23; 0.054498700000000004
3.235; 0.055391300000000004
 3.24; 0.056272400000000007
3.245; 0.057157400000000004
 3.25; 0.058046200000000006
3.255; 0.058943600000000006
32.600.000.000.000.000; 0.059864600000000004
3.265; 0.060781700000000008
 3.27; 0.0616835
3.275; 0.062591100000000011
32.800.000.000.000.000; 0.063547200000000012
3.285; 0.064455000000000012
 3.29; 0.0653693
3.295; 0.0662882
33.000.000.000.000.000; 0.0672076
3.305; 0.0681499
 3.31; 0.06907350000000001
3.315; 0.069998
33.200.000.000.000.000; 0.0709183
3.325; 0.0718613
 3.33; 0.0727817
3.335; 0.0737001
 3.34; 0.074617300000000011
3.345; 0.0755552
 3.35; 0.0764735
3.355; 0.077384000000000008
 3.36; 0.078288400000000008
3.365; 0.079189600000000013
 3.37; 0.080109000000000014
3.375; 0.0810038
 3.38; 0.081893000000000007
33.850.000.000.000.000; 0.082779600000000009
 3.39; 0.083685900000000008
3.395; 0.084566700000000009
 3.4; 0.0854473
34.050.000.000.000.000; 0.086310800000000007
 3.41; 0.087167100000000011
3.415; 0.0880422
 3.42; 0.0888887
34.250.000.000.000.000; 0.0897349
 3.43; 0.0905645
3.435; 0.091415400000000008
 3.44; 0.092240300000000011
34.450.000.000.000.000; 0.093055300000000007
 3.45; 0.093863700000000008
3.455; 0.0946647
 3.46; 0.095484300000000008
3.465; 0.096273500000000012
 3.47; 0.097055200000000008
3.475; 0.097833800000000012
 3.48; 0.0986308
3.485; 0.0994029
 3.49; 0.0999995
3495;
 3.5;
3505;
3,51E+16;
3515;
 3.52;
3525;
3,53E+16;
3535;
 3.54;
3545;
3,55E+16;
3555;
 3.56;
3565;
3,57E+16;
3575;
 3.58;
3585;
 3.59;
3595;
 3.6;
3605;
 3.61;
3615;
 3.62;
3625;
 3.63;
3,635E+16;
 3.64;
3645;
 3.65;
3,655E+16;
 3.66;
3665;
 3.67;
3,675E+16;
 3.68;
3685;
 3.69;
3,695E+16;
 3.7;
3705;
 3.71;
3715;
 3.72;
3725;
 3.73;
3735;
 3.74;
3745;
 3.75;
3755;
3,76E+16;
3765;
 3.77;
3775;
3,78E+16;
3785;
 3.79;
3795;
3,8E+16;
3805;
 3.81;
3815;
3,82E+16;
3825;
 3.83;
3835;
 3.84;
3845;
 3.85;
3855;
 3.86;
3865;
 3.87;
3875;
 3.88;
3,885E+16;
 3.89;
3895;
 3.9;
3,905E+16;
 3.91;
3915;
 3.92;
3,925E+16;
 3.93;
3935;
 3.94;
3,945E+16;
 3.95;
3955;
 3.96;
3,965E+16;
 3.97;
3975;
 3.98;
3985;
 3.99;
3995;
4;
